Pergunta,Contexto
O que e o protocolo FTP/SFTP?,"É um método padrão para transferir arquivos entre computadores na rede. O SFTP adiciona a segurança do SSH, sendo muito usado para ingerir arquivos enviados por parceiros externos."
O que sao webhooks na ingestao de dados?,"São 'gatilhos' baseados em HTTP que enviam automaticamente dados de um sistema para o seu servidor no exato momento em que um evento ocorre, substituindo a necessidade de ficar perguntando por atualizações."
O que e um Data Mart?,"Um subconjunto focado e isolado de um Data Warehouse, desenhado para atender às necessidades específicas de um departamento (como Marketing ou RH) para consultas mais ágeis e simples."
O que e um pipeline Lambda?,Uma arquitetura híbrida de engenharia que possui um caminho de batch (para precisão profunda de dados históricos) e um caminho de streaming (para respostas imediatas em tempo real).
O que e um pipeline Kappa?,Uma arquitetura que simplifica o modelo Lambda usando um único sistema de processamento de fluxo contínuo (streaming) para lidar tanto com dados em tempo real quanto dados reprocessados históricos.
O que e a granularidade dos dados?,"É o nível de detalhamento armazenado em uma tabela. Dados de alta granularidade possuem os detalhes de cada transação (uma venda), enquanto baixa granularidade possuem os dados agregados (vendas do mês)."
O que sao dados sinteticos?,"Dados gerados artificialmente por algoritmos de IA que imitam características estatísticas de dados reais, usados para testes de carga ou modelos de machine learning quando há restrição de privacidade."
O que e o PII (Personally Identifiable Information)?,"São Informações Pessoalmente Identificáveis (como CPF, nome completo e e-mail). A engenharia de dados precisa anonimizar ou criptografar essas colunas para cumprir regras como a LGPD."
O que e o mascaramento de dados (Data Masking)?,A técnica de ocultar dados sensíveis através de embaralhamento ou substituição (ex: ocultar os primeiros números do cartão de crédito) para proteger a segurança sem quebrar a estrutura do banco.
Como a engenharia de dados suporta testes A/B?,"Desenvolvendo pipelines que separam de forma rigorosa as interações do grupo de controle e do grupo de teste, garantindo que os analistas recebam dados estatisticamente válidos para analisar."
O que e Time Travel num Data Warehouse moderno?,"Um recurso (presente no BigQuery e Snowflake) que permite aos engenheiros consultarem os dados exatamente como estavam num momento específico do passado, excelente para recuperação de erros humanos."
O que e o Serverless Computing?,"Um modelo onde a nuvem gerencia tudo sob o capô (servidores, atualizações e escalabilidade) e o engenheiro foca apenas no código, pagando estritamente pelos milissegundos ou bytes processados."
O que e o Apache NiFi?,"Uma ferramenta open-source com uma interface visual arrastar e soltar usada para projetar e automatizar o roteamento, a transformação e a ingestão de dados em tempo real entre sistemas."
Qual a funcao de um gateway de API num ecossistema de dados?,"Ele atua como a porta de entrada única de comunicação, garantindo segurança, controle de tráfego, autenticação e monitoramento antes que a requisição chegue ao Cloud Run ou banco de dados."
O que e a complexidade Big O em algoritmos?,É uma notação matemática usada para descrever o quão rápido o tempo de processamento ou o uso de memória de um código cresce à medida que o volume de dados aumenta.
O que e a fragmentacao de disco (Fragmentation) em bancos relacionais?,"Ocorre com o tempo após vários updates e deletes, criando espaços vazios nas páginas do banco de dados que tornam a leitura do disco mais lenta. Requer operações como o VACUUM."
Por que e perigoso rodar um SELECT * num banco produtivo?,"Porque sobrecarrega a rede, consome memória excessiva no servidor e pode travar operações transacionais cruciais, além de gerar custos muito altos em bancos como o BigQuery."
O que significa 'Idempotent Consumer' em arquitetura orientada a eventos?,"Um serviço que pode receber e processar a mesma mensagem de streaming várias vezes sem gerar efeitos colaterais, fundamental quando sistemas como o Pub/Sub garantem entrega 'at-least-once'."
O que e o modelo 'Pay-as-you-go' de nuvem?,Um modelo financeiro onde não há custos fixos iniciais e a empresa paga exclusivamente pela quantidade de recursos computacionais ou armazenamento consumidos naquele mês.
O que e Data Observability (Observabilidade de Dados)?,"Uma evolução do monitoramento. É a capacidade de entender a saúde do sistema de dados usando métricas, logs e linhagem para prever, identificar e resolver anomalias rapidamente."
O que e o ciclo de MLOps (Machine Learning Operations)?,"A união da engenharia de dados com DevOps e ciência de dados para automatizar o treinamento, a implantação e o monitoramento contínuo de modelos de IA em ambientes de produção."
